	   Precision. Recall. FMeasure
11_020.png 0.962250 0.777951 0.860341
11_024.png 0.942814 0.907674 0.924910
11_030.png 0.976443 0.721497 0.829830
13_023.png 0.999112 0.905797 0.950169
13_027.png 0.998996 0.900452 0.947168
2_044.png 0.981635 0.890833 0.934032
2_045.png 0.977578 0.873164 0.922426
2_046.png 0.931442 0.704830 0.802444
4_029.png 0.955477 0.965498 0.960461
4_030.png 0.987285 0.928270 0.956868
4_031.png 0.993932 0.862679 0.923666
5_022.png 1.000000 0.779489 0.876082
5_027.png 0.968688 0.959103 0.963871
5_030.png 0.975923 0.886297 0.928953
7_044.png 0.986486 0.935897 0.960526
8_022.png 1.000000 0.965504 0.982450
8_028.png 1.000000 0.942537 0.970419
8_030.png 1.000000 0.925373 0.961240
